timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740543389031,172,HTTP Request,200,OK,10RutaPorSegundo 1-1,text,true,,395,264,2,2,http://127.0.0.1:5001/api/entregas,172,0,2
1740543389131,104,HTTP Request,200,OK,10RutaPorSegundo 1-2,text,true,,397,264,2,2,http://127.0.0.1:5001/api/entregas,104,0,2
1740543389231,59,HTTP Request,200,OK,10RutaPorSegundo 1-3,text,true,,397,264,1,1,http://127.0.0.1:5001/api/entregas,59,0,1
1740543389333,29,HTTP Request,200,OK,10RutaPorSegundo 1-4,text,true,,395,264,1,1,http://127.0.0.1:5001/api/entregas,28,0,1
1740543389435,26,HTTP Request,200,OK,10RutaPorSegundo 1-5,text,true,,398,264,1,1,http://127.0.0.1:5001/api/entregas,26,0,1
1740543389535,24,HTTP Request,200,OK,10RutaPorSegundo 1-6,text,true,,394,264,1,1,http://127.0.0.1:5001/api/entregas,23,0,1
1740543389635,27,HTTP Request,200,OK,10RutaPorSegundo 1-7,text,true,,395,264,1,1,http://127.0.0.1:5001/api/entregas,26,0,1
1740543389731,46,HTTP Request,200,OK,10RutaPorSegundo 1-8,text,true,,396,264,1,1,http://127.0.0.1:5001/api/entregas,46,0,1
1740543389830,29,HTTP Request,200,OK,10RutaPorSegundo 1-9,text,true,,395,264,1,1,http://127.0.0.1:5001/api/entregas,29,0,1
1740543389934,24,HTTP Request,200,OK,10RutaPorSegundo 1-10,text,true,,397,264,1,1,http://127.0.0.1:5001/api/entregas,24,0,1
