timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740548230656,169,HTTP Request,200,OK,100RutaPorSegundo 1-4,text,true,,396,264,20,20,http://127.0.0.1:5001/api/entregas,169,0,1
1740548230627,204,HTTP Request,200,OK,100RutaPorSegundo 1-1,text,true,,396,264,20,20,http://127.0.0.1:5001/api/entregas,204,0,2
1740548230682,166,HTTP Request,200,OK,100RutaPorSegundo 1-6,text,true,,393,264,21,21,http://127.0.0.1:5001/api/entregas,166,0,0
1740548230651,199,HTTP Request,200,OK,100RutaPorSegundo 1-3,text,true,,396,264,20,20,http://127.0.0.1:5001/api/entregas,199,0,1
1740548230707,154,HTTP Request,200,OK,100RutaPorSegundo 1-9,text,true,,395,264,20,20,http://127.0.0.1:5001/api/entregas,154,0,0
1740548230699,166,HTTP Request,200,OK,100RutaPorSegundo 1-8,text,true,,393,264,19,19,http://127.0.0.1:5001/api/entregas,166,0,1
1740548230759,112,HTTP Request,200,OK,100RutaPorSegundo 1-14,text,true,,396,264,19,19,http://127.0.0.1:5001/api/entregas,112,0,1
1740548230777,95,HTTP Request,200,OK,100RutaPorSegundo 1-16,text,true,,396,264,18,18,http://127.0.0.1:5001/api/entregas,95,0,1
1740548230767,105,HTTP Request,200,OK,100RutaPorSegundo 1-15,text,true,,397,264,17,17,http://127.0.0.1:5001/api/entregas,105,0,1
1740548230827,54,HTTP Request,200,OK,100RutaPorSegundo 1-21,text,true,,396,264,17,17,http://127.0.0.1:5001/api/entregas,54,0,1
1740548230817,64,HTTP Request,200,OK,100RutaPorSegundo 1-20,text,true,,396,264,16,16,http://127.0.0.1:5001/api/entregas,64,0,1
1740548230846,43,HTTP Request,200,OK,100RutaPorSegundo 1-23,text,true,,395,264,16,16,http://127.0.0.1:5001/api/entregas,43,0,1
1740548230638,252,HTTP Request,200,OK,100RutaPorSegundo 1-2,text,true,,397,264,15,15,http://127.0.0.1:5001/api/entregas,252,0,1
1740548230667,231,HTTP Request,200,OK,100RutaPorSegundo 1-5,text,true,,397,264,15,15,http://127.0.0.1:5001/api/entregas,231,0,0
1740548230717,190,HTTP Request,200,OK,100RutaPorSegundo 1-10,text,true,,395,264,14,14,http://127.0.0.1:5001/api/entregas,190,0,1
1740548230747,161,HTTP Request,200,OK,100RutaPorSegundo 1-13,text,true,,395,264,13,13,http://127.0.0.1:5001/api/entregas,160,0,0
1740548230798,114,HTTP Request,200,OK,100RutaPorSegundo 1-18,text,true,,395,264,13,13,http://127.0.0.1:5001/api/entregas,114,0,2
1740548230809,105,HTTP Request,200,OK,100RutaPorSegundo 1-19,text,true,,395,264,12,12,http://127.0.0.1:5001/api/entregas,105,0,1
1740548230878,42,HTTP Request,200,OK,100RutaPorSegundo 1-26,text,true,,393,264,12,12,http://127.0.0.1:5001/api/entregas,42,0,0
1740548230870,50,HTTP Request,200,OK,100RutaPorSegundo 1-25,text,true,,393,264,12,12,http://127.0.0.1:5001/api/entregas,50,0,1
1740548230687,237,HTTP Request,200,OK,100RutaPorSegundo 1-7,text,true,,396,264,10,10,http://127.0.0.1:5001/api/entregas,237,0,1
1740548230737,193,HTTP Request,200,OK,100RutaPorSegundo 1-12,text,true,,394,264,10,10,http://127.0.0.1:5001/api/entregas,193,0,1
1740548230837,99,HTTP Request,200,OK,100RutaPorSegundo 1-22,text,true,,395,264,9,9,http://127.0.0.1:5001/api/entregas,99,0,1
1740548230889,53,HTTP Request,200,OK,100RutaPorSegundo 1-27,text,true,,393,264,9,9,http://127.0.0.1:5001/api/entregas,52,0,0
1740548230909,39,HTTP Request,200,OK,100RutaPorSegundo 1-29,text,true,,396,264,9,9,http://127.0.0.1:5001/api/entregas,39,0,1
1740548230917,32,HTTP Request,200,OK,100RutaPorSegundo 1-30,text,true,,396,264,8,8,http://127.0.0.1:5001/api/entregas,32,0,1
1740548230726,232,HTTP Request,200,OK,100RutaPorSegundo 1-11,text,true,,394,264,8,8,http://127.0.0.1:5001/api/entregas,232,0,1
1740548230857,106,HTTP Request,200,OK,100RutaPorSegundo 1-24,text,true,,396,264,7,7,http://127.0.0.1:5001/api/entregas,106,0,0
1740548230928,39,HTTP Request,200,OK,100RutaPorSegundo 1-31,text,true,,397,264,6,6,http://127.0.0.1:5001/api/entregas,39,0,1
1740548230787,186,HTTP Request,200,OK,100RutaPorSegundo 1-17,text,true,,398,264,6,6,http://127.0.0.1:5001/api/entregas,186,0,1
1740548230898,81,HTTP Request,200,OK,100RutaPorSegundo 1-28,text,true,,395,264,6,6,http://127.0.0.1:5001/api/entregas,81,0,1
1740548230937,44,HTTP Request,200,OK,100RutaPorSegundo 1-32,text,true,,397,264,5,5,http://127.0.0.1:5001/api/entregas,44,0,1
1740548230958,35,HTTP Request,200,OK,100RutaPorSegundo 1-34,text,true,,394,264,5,5,http://127.0.0.1:5001/api/entregas,35,0,1
1740548230977,28,HTTP Request,200,OK,100RutaPorSegundo 1-36,text,true,,393,264,5,5,http://127.0.0.1:5001/api/entregas,28,0,1
1740548230947,63,HTTP Request,200,OK,100RutaPorSegundo 1-33,text,true,,396,264,5,5,http://127.0.0.1:5001/api/entregas,62,0,1
1740548230987,30,HTTP Request,200,OK,100RutaPorSegundo 1-37,text,true,,394,264,4,4,http://127.0.0.1:5001/api/entregas,30,0,1
1740548230970,51,HTTP Request,200,OK,100RutaPorSegundo 1-35,text,true,,394,264,4,4,http://127.0.0.1:5001/api/entregas,51,0,1
1740548231008,31,HTTP Request,200,OK,100RutaPorSegundo 1-39,text,true,,395,264,5,5,http://127.0.0.1:5001/api/entregas,31,0,1
1740548230997,57,HTTP Request,200,OK,100RutaPorSegundo 1-38,text,true,,398,264,5,5,http://127.0.0.1:5001/api/entregas,57,0,1
1740548231028,29,HTTP Request,200,OK,100RutaPorSegundo 1-41,text,true,,398,264,5,5,http://127.0.0.1:5001/api/entregas,29,0,1
1740548231018,47,HTTP Request,200,OK,100RutaPorSegundo 1-40,text,true,,395,264,4,4,http://127.0.0.1:5001/api/entregas,47,0,1
1740548231047,33,HTTP Request,200,OK,100RutaPorSegundo 1-43,text,true,,396,264,5,5,http://127.0.0.1:5001/api/entregas,33,0,1
1740548231037,46,HTTP Request,200,OK,100RutaPorSegundo 1-42,text,true,,395,264,4,4,http://127.0.0.1:5001/api/entregas,45,0,1
1740548231068,26,HTTP Request,200,OK,100RutaPorSegundo 1-45,text,true,,393,264,4,4,http://127.0.0.1:5001/api/entregas,26,0,0
1740548231057,44,HTTP Request,200,OK,100RutaPorSegundo 1-44,text,true,,395,264,4,4,http://127.0.0.1:5001/api/entregas,44,0,1
1740548231077,28,HTTP Request,200,OK,100RutaPorSegundo 1-46,text,true,,396,264,3,3,http://127.0.0.1:5001/api/entregas,28,0,0
1740548231097,23,HTTP Request,200,OK,100RutaPorSegundo 1-48,text,true,,394,264,4,4,http://127.0.0.1:5001/api/entregas,23,0,1
1740548231089,46,HTTP Request,200,OK,100RutaPorSegundo 1-47,text,true,,394,264,4,4,http://127.0.0.1:5001/api/entregas,45,0,1
1740548231118,29,HTTP Request,200,OK,100RutaPorSegundo 1-50,text,true,,396,264,5,5,http://127.0.0.1:5001/api/entregas,29,0,0
1740548231110,41,HTTP Request,200,OK,100RutaPorSegundo 1-49,text,true,,396,264,4,4,http://127.0.0.1:5001/api/entregas,40,0,0
1740548231137,23,HTTP Request,200,OK,100RutaPorSegundo 1-52,text,true,,395,264,4,4,http://127.0.0.1:5001/api/entregas,22,0,0
1740548231127,48,HTTP Request,200,OK,100RutaPorSegundo 1-51,text,true,,396,264,4,4,http://127.0.0.1:5001/api/entregas,47,0,1
1740548231146,33,HTTP Request,200,OK,100RutaPorSegundo 1-53,text,true,,397,264,4,4,http://127.0.0.1:5001/api/entregas,33,0,1
1740548231167,21,HTTP Request,200,OK,100RutaPorSegundo 1-55,text,true,,396,264,4,4,http://127.0.0.1:5001/api/entregas,21,0,0
1740548231157,47,HTTP Request,200,OK,100RutaPorSegundo 1-54,text,true,,395,264,4,4,http://127.0.0.1:5001/api/entregas,47,0,0
1740548231187,29,HTTP Request,200,OK,100RutaPorSegundo 1-57,text,true,,396,264,4,4,http://127.0.0.1:5001/api/entregas,29,0,0
1740548231177,42,HTTP Request,200,OK,100RutaPorSegundo 1-56,text,true,,395,264,3,3,http://127.0.0.1:5001/api/entregas,42,0,1
1740548231207,22,HTTP Request,200,OK,100RutaPorSegundo 1-59,text,true,,393,264,3,3,http://127.0.0.1:5001/api/entregas,22,0,0
1740548231198,45,HTTP Request,200,OK,100RutaPorSegundo 1-58,text,true,,396,264,4,4,http://127.0.0.1:5001/api/entregas,45,0,0
1740548231231,22,HTTP Request,200,OK,100RutaPorSegundo 1-61,text,true,,396,264,4,4,http://127.0.0.1:5001/api/entregas,22,0,1
1740548231247,19,HTTP Request,200,OK,100RutaPorSegundo 1-63,text,true,,398,264,4,4,http://127.0.0.1:5001/api/entregas,19,0,0
1740548231221,60,HTTP Request,200,OK,100RutaPorSegundo 1-60,text,true,,397,264,5,5,http://127.0.0.1:5001/api/entregas,60,0,1
1740548231258,25,HTTP Request,200,OK,100RutaPorSegundo 1-64,text,true,,398,264,4,4,http://127.0.0.1:5001/api/entregas,25,0,1
1740548231241,46,HTTP Request,200,OK,100RutaPorSegundo 1-62,text,true,,396,264,3,3,http://127.0.0.1:5001/api/entregas,46,0,1
1740548231267,29,HTTP Request,200,OK,100RutaPorSegundo 1-65,text,true,,396,264,3,3,http://127.0.0.1:5001/api/entregas,28,0,1
1740548231279,27,HTTP Request,200,OK,100RutaPorSegundo 1-66,text,true,,395,264,3,3,http://127.0.0.1:5001/api/entregas,27,0,0
1740548231296,25,HTTP Request,200,OK,100RutaPorSegundo 1-68,text,true,,397,264,4,4,http://127.0.0.1:5001/api/entregas,25,0,1
1740548231289,34,HTTP Request,200,OK,100RutaPorSegundo 1-67,text,true,,397,264,3,3,http://127.0.0.1:5001/api/entregas,34,0,1
1740548231307,27,HTTP Request,200,OK,100RutaPorSegundo 1-69,text,true,,394,264,3,3,http://127.0.0.1:5001/api/entregas,27,0,1
1740548231327,19,HTTP Request,200,OK,100RutaPorSegundo 1-71,text,true,,397,264,3,3,http://127.0.0.1:5001/api/entregas,19,0,1
1740548231316,46,HTTP Request,200,OK,100RutaPorSegundo 1-70,text,true,,395,264,4,4,http://127.0.0.1:5001/api/entregas,46,0,1
1740548231349,23,HTTP Request,200,OK,100RutaPorSegundo 1-73,text,true,,396,264,4,4,http://127.0.0.1:5001/api/entregas,23,0,1
1740548231337,49,HTTP Request,200,OK,100RutaPorSegundo 1-72,text,true,,397,264,4,4,http://127.0.0.1:5001/api/entregas,49,0,1
1740548231367,32,HTTP Request,200,OK,100RutaPorSegundo 1-75,text,true,,394,264,5,5,http://127.0.0.1:5001/api/entregas,32,0,0
1740548231386,27,HTTP Request,200,OK,100RutaPorSegundo 1-77,text,true,,394,264,5,5,http://127.0.0.1:5001/api/entregas,27,0,1
1740548231358,59,HTTP Request,200,OK,100RutaPorSegundo 1-74,text,true,,397,264,5,5,http://127.0.0.1:5001/api/entregas,59,0,1
1740548231397,23,HTTP Request,200,OK,100RutaPorSegundo 1-78,text,true,,395,264,4,4,http://127.0.0.1:5001/api/entregas,23,0,1
1740548231377,53,HTTP Request,200,OK,100RutaPorSegundo 1-76,text,true,,395,264,4,4,http://127.0.0.1:5001/api/entregas,53,0,0
1740548231417,23,HTTP Request,200,OK,100RutaPorSegundo 1-80,text,true,,396,264,4,4,http://127.0.0.1:5001/api/entregas,23,0,1
1740548231410,43,HTTP Request,200,OK,100RutaPorSegundo 1-79,text,true,,396,264,4,4,http://127.0.0.1:5001/api/entregas,43,0,0
1740548231437,27,HTTP Request,200,OK,100RutaPorSegundo 1-82,text,true,,392,264,4,4,http://127.0.0.1:5001/api/entregas,27,0,0
1740548231459,19,HTTP Request,200,OK,100RutaPorSegundo 1-84,text,true,,395,264,5,5,http://127.0.0.1:5001/api/entregas,19,0,1
1740548231429,54,HTTP Request,200,OK,100RutaPorSegundo 1-81,text,true,,394,264,4,4,http://127.0.0.1:5001/api/entregas,54,0,1
1740548231471,20,HTTP Request,200,OK,100RutaPorSegundo 1-85,text,true,,396,264,4,4,http://127.0.0.1:5001/api/entregas,20,0,1
1740548231449,55,HTTP Request,200,OK,100RutaPorSegundo 1-83,text,true,,394,264,4,4,http://127.0.0.1:5001/api/entregas,55,0,0
1740548231487,30,HTTP Request,200,OK,100RutaPorSegundo 1-87,text,true,,395,264,5,5,http://127.0.0.1:5001/api/entregas,30,0,0
1740548231507,23,HTTP Request,200,OK,100RutaPorSegundo 1-89,text,true,,396,264,5,5,http://127.0.0.1:5001/api/entregas,23,0,0
1740548231478,55,HTTP Request,200,OK,100RutaPorSegundo 1-86,text,true,,393,264,4,4,http://127.0.0.1:5001/api/entregas,55,0,1
1740548231516,27,HTTP Request,200,OK,100RutaPorSegundo 1-90,text,true,,395,264,4,4,http://127.0.0.1:5001/api/entregas,27,0,1
1740548231496,51,HTTP Request,200,OK,100RutaPorSegundo 1-88,text,true,,393,264,4,4,http://127.0.0.1:5001/api/entregas,51,0,1
1740548231537,22,HTTP Request,200,OK,100RutaPorSegundo 1-92,text,true,,396,264,4,4,http://127.0.0.1:5001/api/entregas,22,0,0
1740548231527,46,HTTP Request,200,OK,100RutaPorSegundo 1-91,text,true,,397,264,4,4,http://127.0.0.1:5001/api/entregas,46,0,1
1740548231547,31,HTTP Request,200,OK,100RutaPorSegundo 1-93,text,true,,396,264,4,4,http://127.0.0.1:5001/api/entregas,31,0,1
1740548231567,17,HTTP Request,200,OK,100RutaPorSegundo 1-95,text,true,,397,264,3,3,http://127.0.0.1:5001/api/entregas,17,0,1
1740548231558,40,HTTP Request,200,OK,100RutaPorSegundo 1-94,text,true,,395,264,4,4,http://127.0.0.1:5001/api/entregas,40,0,1
1740548231587,27,HTTP Request,200,OK,100RutaPorSegundo 1-97,text,true,,396,264,4,4,http://127.0.0.1:5001/api/entregas,26,0,1
1740548231576,42,HTTP Request,200,OK,100RutaPorSegundo 1-96,text,true,,396,264,3,3,http://127.0.0.1:5001/api/entregas,42,0,1
1740548231597,33,HTTP Request,200,OK,100RutaPorSegundo 1-98,text,true,,395,264,3,3,http://127.0.0.1:5001/api/entregas,33,0,0
1740548231608,32,HTTP Request,200,OK,100RutaPorSegundo 1-99,text,true,,396,264,2,2,http://127.0.0.1:5001/api/entregas,32,0,0
1740548231619,33,HTTP Request,200,OK,100RutaPorSegundo 1-100,text,true,,395,264,1,1,http://127.0.0.1:5001/api/entregas,33,0,1
